,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,carahue,22.0,CL,1573012474.0,87.0,-38.71,-73.16,282.15,1.5
386,nelson bay,0.0,AU,1573012475.0,15.0,-32.72,152.14,302.59,6.7
387,itarema,2.0,BR,1573012475.0,82.0,-2.92,-39.92,298.28,4.88
390,bavly,100.0,RU,1573012475.0,89.0,54.4,53.24,276.5,10.74
391,ararat,39.0,AM,1573012475.0,86.0,39.85,44.7,271.15,0.5
393,luena,91.0,AO,1573012475.0,94.0,-11.78,19.91,289.56,1.08
394,sikasso,16.0,ML,1573012476.0,53.0,11.32,-5.68,297.74,1.03
395,undory,90.0,RU,1573012476.0,93.0,54.61,48.39,282.15,9.0
398,san luis,0.0,AR,1573012476.0,57.0,-33.3,-66.34,294.15,10.03
399,shingu,0.0,JP,1573012476.0,30.0,33.72,135.99,293.15,2.1
400,almeirim,45.0,BR,1573012476.0,70.0,-1.53,-52.58,299.69,2.77
401,cartagena del chaira,52.0,CO,1573012476.0,97.0,1.33,-74.84,295.53,0.17
403,broome,99.0,GB,1573012477.0,93.0,52.47,1.45,279.26,2.6
404,berlevag,100.0,NO,1573012448.0,66.0,70.86,29.09,274.68,5.89
405,saint-georges,100.0,CA,1573012477.0,100.0,46.12,-70.67,278.15,3.13
407,esna,1.0,RO,1573012477.0,73.0,45.2,27.57,286.39,3.84
408,ballina,100.0,IE,1573012477.0,95.0,54.11,-9.15,278.71,1.68
409,bojonegoro,0.0,ID,1573012477.0,38.0,-7.15,111.88,306.24,2.66
410,dingle,92.0,PH,1573012477.0,72.0,11.0,122.67,302.66,7.08
412,hithadhoo,67.0,MV,1573012478.0,73.0,-0.6,73.08,300.92,3.41
413,brigantine,90.0,US,1573012478.0,71.0,39.41,-74.36,285.37,1.5
415,san patricio,0.0,PY,1573012478.0,88.0,-26.98,-56.83,294.07,3.71
416,laguna,0.0,BZ,1573012478.0,100.0,16.17,-88.94,296.15,0.85
418,khani,5.0,GE,1573012479.0,75.0,41.96,42.96,280.15,3.1
420,natal,20.0,BR,1573012479.0,78.0,-5.81,-35.21,298.15,4.1
421,zihuatanejo,40.0,MX,1573012479.0,74.0,17.64,-101.55,301.15,1.69
424,coquimbo,0.0,CL,1573012480.0,87.0,-29.95,-71.34,286.15,5.38
425,mayo,75.0,CA,1573012480.0,76.0,63.59,-135.9,252.15,1.0
426,huadian,53.0,CN,1573012480.0,30.0,42.97,126.75,278.37,0.72
427,businga,100.0,CD,1573012481.0,98.0,3.34,20.89,293.82,0.83
428,san policarpo,0.0,PH,1573012481.0,65.0,12.18,125.51,303.37,2.2
